本日,本日,收盘价,成交量,流通市值,收盘价,成交金额
2548,703.1,5.35,56952306,17059666424,2926.3908,245444215231
2547.8,702.9,5.41,60780480,17250989785,2906.464,314336519408
2546.5,697.8,5.94,34519390,18941012814,3078.3389,225498129185
2546.5,694.3,5.87,49461051,18717802226,3062.4985,289063278922
2546.5,692.9,5.9,70014669,18813463906,3086.3989,274776402268
2544.6,693.3,6.12,57154711,19514982900,3123.8261,309076083735
2544.6,694,6.39,48290171,20375938027,3201.6137,278410852523
2544,694.4,6.42,87604642,20471599708,3198.5938,324870183352
2540.5,691.4,6.76,61429475,21555765425,3215.0426,359154297129
2537.3,687.2,6.89,64747546,21970299375,3270.7973,315131920245
2538.2,685.2,6.7,49568175,21364442063,3250.2012,323508178629
2528.3,686.6,6.59,44544766,21013682567,3263.1179,354509888123
2527.7,690.2,6.65,58877775,21205005928,3253.5978,360166633559
2527.7,690.2,6.45,55529648,20567261389,3177.7866,355666127694
2527.1,688.3,6.48,87499666,20662923070,3188.6256,288908971170
2487.1,687.1,6.67,72612307,21268780382,3189.9619,360684555862
2482.5,688.4,6.89,63144415,21970299375,3241.9299,395669974866
2481.8,687.1,7.02,106724625,22384833326,3239.6639,380272975904
2478.6,673,7.26,190153850,23150126773,3244.8103,506431236827
2475.6,668.7,6.63,94487896,21141231475,3246.5714,475156382127
2476,662.4,6.47,88079778,20631035843,3216.2952,442622040974
2481.4,660,6.33,77569469,20184614666,3176.8227,462662081758
2480.5,658.2,6.29,95771552,20057065758,3170.361,480085938358
2493.9,656.9,6.08,70813466,19387433992,3090.758,386699608663
2496.8,658.4,5.9,52106804,18813463906,2994.9434,289554565454
2524.8,656.5,6.09,49760445,19419321219,3022.7196,295075954781
2528,656.6,6,54514802,19132336176,2997.0954,341444826640
2531,658.5,6.16,42588083,19642531807,3043.0313,375375662769
2534,658.7,6.3,52848593,20088952985,3104.1487,356678334991
2534.2,658.4,6.28,50289409,20025178531,3101.455,403939834713
2534.2,662.7,6.32,58666424,20152727439,3090.6403,349295405518
2534.2,671,6.32,71749555,20152727439,3090.975,353216791297
2533.5,668.9,6.43,120335156,20503486935,3096.4176,398469604846
2533.5,669.7,6.12,64086471,19514982900,3021.7512,344721502662
2534.4,670.3,6.06,66235925,19323659538,2990.685,356240351163
2536.3,668.6,6.01,48779726,19164223403,3026.9513,451247303676
2535.2,664.1,6.05,61788958,19291772311,3060.3073,487066630175
2535.5,669.7,5.98,54754451,19068561722,3026.9925,404368420344
2542.2,673.2,5.88,105946844,18749689453,2969.8614,525598246404
2544.6,668.7,6.25,94553485,19929516850,3106.4179,525725224728
2556.8,670.5,6.28,125389318,20025178531,3102.0991,485478321264
2556.8,670.1,6.14,79849471,19578757353,3054.2466,382768537216
2555.8,674.5,6.19,128880268,19738193488,3027.5755,480603655462
2555.8,669.9,6.11,98991484,19483095673,2994.005,307337666713
2555.2,665.1,6.02,68388394,19196110630,2940.9538,298763953095
2553.4,666.6,5.92,109566510,18877238360,2953.8242,411837618669
2553.4,670.2,6.01,179424743,19164223403,2941.5163,492396545211
2553.4,676.8,5.88,136996497,18749689453,2961.2834,465991432608
2554,674.9,5.65,56251171,18016283232,2804.2262,264518879182
2558.6,677,5.55,66181390,17697410963,2751.8012,253033376928
2558.6,680.3,5.64,52378098,17984396005,2761.2189,205446929277
2558.6,679.4,5.62,63468663,17920621552,2755.6459,247121050483
2554.7,681.7,5.64,64052844,17984396005,2754.3566,224184077182
2554.7,680.9,5.52,57485236,17601749282,2682.385,169823260272
2551.6,677.6,5.6,60954984,17856847098,2719.6999,170330837115
2550,685.3,5.64,92037966,17984396005,2721.0683,207125315890
2548.8,693.4,5.56,71705095,17729298190,2671.8937,156741540430
2545.9,679.3,5.6,88523134,17856847098,2653.896,137307189959
2545.9,649.2,5.5,56525323,17537974828,2618.2323,111522628284
2546.4,646,5.43,72622876,17314764239,2584.5724,126013247424
2546.4,631.7,5.51,90106624,17569862055,2575.5756,101103927483
2545.8,624.8,5.63,134889054,17952508779,2594.2536,126749049398
2545.8,616.9,5.24,25061668,16708906927,2596.9767,127465636691
2545.8,609.7,5.27,34127050,16804568608,2601.7234,135415167658
2548.8,609.8,5.23,29261004,16677019700,2591.6935,131575040338
2548.8,609.5,5.25,22009364,16740794154,2581.0041,105101323588
2548.8,610.7,5.26,32710251,16772681381,2579.7041,122995435447
2551.8,609,5.37,50281180,17123440878,2610.5094,139915486180
2551.8,602.5,5.39,91077910,17187215331,2596.0056,151270430648
2551.8,602.8,5.18,39843634,16517583565,2559.637,127546126672
2551.8,601.2,5.13,22342103,16358147431,2570.4221,126876314388
2544.5,600.8,5.16,30417326,16453809111,2570.3449,137374981256
2538.1,597.7,5.17,48954979,16485696338,2535.7653,116243416786
2506,596.9,5.06,25189703,16134936842,2553.8313,122375663404
2500.7,596.9,5.05,32222178,16103049615,2535.0985,132692331456
2500.7,597.5,5.12,47567714,16326260204,2544.3449,160812526963
2496.7,598.1,5.01,27902624,15975500707,2526.4622,123379039797
2492.1,596.2,5.09,33937321,16230598523,2533.0887,145513241619
2487.8,597,5.06,25684684,16134936842,2514.8682,139298675030
2487.8,591.8,4.99,23261685,15911726253,2464.3628,106922789480
2487.8,590,4.98,22346575,15879839026,2465.291,97592571964
2487.1,590,5.09,30523647,16230598523,2493.8962,105980853017
2487.8,589.3,5.16,22388157,16453809111,2483.0864,112479760483
2488.3,588.3,5.23,27601855,16677019700,2498.2939,93989532584
2491.7,585.3,5.11,34053326,16294372977,2504.819,114766008798
